age,weight(kg),height(m),gender,BMR,activity_level,calories_to_maintain_weight
2,16.09786214997295,0.9320248764873584,1,958.584,1.2,1150.3008
4,14.619373955500556,0.9166868820307404,1,932.383,1.7,1585.0511
4,17.89991841561572,0.9972877191242412,1,977.578,1.9,1857.3982
3,13.53288038990203,1.022786302377667,1,944.689,1.9,1794.9091
4,17.039484483110172,1.053976656806435,0,799.229,1.9,1518.5351
3,12.032661523487478,1.078630267813443,1,939.781,1.9,1785.5839
2,17.794900776543788,1.0703925289053615,0,831.386,1.9,1579.6334
3,15.789179098127962,0.9122557553153082,1,947.56,1.3,1231.828
3,13.300540735417368,1.0686860964260585,1,950.262,1.7,1615.4453999999998
4,15.504307124281024,0.9007040645299391,1,938.161,1.3,1219.6093
4,17.508939237744066,0.9693140007081544,0,763.329,1.3,992.3277
5,15.328799289158194,0.9196015267743308,1,934.989,1.7,1589.4813
3,17.76999260194176,1.0347295405014274,1,987.396,1.9,1876.0524
4,13.547525245612292,0.8695768040549228,1,914.084,1.9,1736.7596
5,12.227311143025748,0.9762284114520774,1,914.841,1.7,1555.2297
2,14.1335055066413,1.0267306175897828,1,955.826,1.9,1816.0694
4,15.464262424325574,0.881802605844889,0,691.562,1.7,1175.6554
3,13.736122612473505,0.9218801683015476,1,929.486,1.7,1580.1262
3,16.16048870733119,1.0525516452875006,0,793.275,1.9,1507.2225
5,14.009112387193026,1.0526770231624645,1,944.943,1.7,1606.4031
3,16.894457973587738,0.9202414772764672,1,959.528,1.3,1247.3864
2,12.73698974034635,1.0048164685502443,1,938.694,1.7,1595.7797999999998
5,17.376826100492284,1.0162459820181688,1,971.079,1.7,1650.8343
3,16.367050488068863,0.8930264195782449,1,949.838,1.5,1424.757
4,17.102880817032798,0.9617065475775484,1,963.878,1.9,1831.3682
2,17.19729221105274,0.8720387838893067,0,724.022,1.9,1375.6418
4,14.728941216252654,0.8760526297515369,0,678.613,1.7,1153.6421
4,17.04224212845933,1.0762009366426684,1,982.76,1.9,1867.244
4,16.95414372895288,0.9795654359636716,1,965.486,1.9,1834.4234
4,12.154358156526085,0.9411591518545532,1,912.879,1.9,1734.4701
3,17.70067187818394,1.051633096713448,1,989.604,1.7,1682.3268
4,17.275365257261278,1.0281677197119543,1,976.832,1.7,1660.6144
2,14.323289571998114,0.8623203058061891,0,679.789,1.5,1019.6835
4,14.423497615982068,0.9150001156969778,1,930.216,1.9,1767.4104
2,17.544371527252718,0.9420799297672442,1,974.18,1.2,1169.0159999999998
5,12.3733408100454,0.9602963602617742,1,913.534,1.9,1735.7145999999998
3,15.985863314892503,0.8999502495848503,0,714.581,1.7,1214.7877
4,15.277206816904464,0.8767985527882985,1,931.917,1.3,1211.4921000000002
4,12.812081534227314,0.995329715125446,1,928.402,1.9,1763.9638
2,17.363209568311287,1.0286136101672887,1,987.151,1.5,1480.7265
3,17.441773320824677,0.9104051864163136,1,963.11,1.7,1637.287
2,12.023797628220208,1.0515089264214,1,939.785,1.9,1785.5914999999998
2,14.729476997297722,0.9047826268387882,1,940.816,1.9,1787.5504
3,12.39642581786958,0.8768936267864942,1,908.978,1.7,1545.2625999999998
4,16.599537275646853,0.9908200813671256,1,963.995,1.7,1638.7915
5,16.812840952851204,0.8978786848819335,0,711.275,1.9,1351.4225
3,16.166559774194276,1.0662441791024535,0,800.204,1.9,1520.3875999999998
3,16.735875785439788,1.0052050132522954,1,972.449,1.5,1458.6735
3,12.665823817397303,0.946988084701918,1,923.48,1.9,1754.612
3,15.380008698307408,1.030568754795255,1,963.745,1.9,1831.1155
4,12.804443659099553,0.9023974212239616,1,912.53,1.9,1733.8069999999998
3,16.902871879927716,0.9273395135991396,1,960.815,1.9,1825.5485
5,15.479250857295831,0.897214400699809,1,932.627,1.7,1585.4659
2,16.6266268886395,0.8579366946142041,1,951.065,1.3,1236.3845
5,17.256058114276712,0.9601944608024046,1,960.391,1.5,1440.5865
5,17.339376608492078,0.9458232887546149,1,958.748,1.5,1438.122
3,16.374592742001347,0.9267431829421294,1,955.642,1.7,1624.5914
3,13.3516046662293,0.9021289458498912,1,922.437,1.9,1752.6303
5,16.620702007634527,1.0003291720372784,1,961.115,1.9,1826.1185
4,17.43157066032804,1.033941730340601,0,794.583,1.9,1509.7077
4,15.314936848472405,0.8843619038297144,0,690.796,1.7,1174.3532
3,12.13751070180292,1.0596463521281183,1,937.56,1.9,1781.3639999999998
4,13.966497365173446,0.9753164290542334,1,936.082,1.7,1591.3393999999998
4,12.093667694731865,0.8972341055352616,1,904.829,1.9,1719.1751
4,14.67791139950998,0.8601561074972911,1,923.334,1.9,1754.3346
4,16.97142841231211,1.0451289071378174,0,793.873,1.9,1508.3587
4,12.272156598252494,1.0627522224098682,1,934.681,1.9,1775.8939
3,15.347958945091076,0.8621330614493949,0,686.934,1.7,1167.7877999999998
3,13.06255299552068,0.900754665088448,1,919.429,1.9,1746.9151
2,16.69240566444178,0.8790086072336135,0,720.59,1.7,1225.003
4,15.523085192954731,1.060456652651114,1,965.499,1.7,1641.3483
3,16.472961935777576,1.0360106029006453,0,789.285,1.9,1499.6415
4,13.866840143810066,1.0783273369597903,0,767.939,1.9,1459.0840999999998
5,12.880733822740757,0.8871674231521491,1,905.974,1.9,1721.3506
3,13.92090388571755,0.902510233758256,1,927.967,1.9,1763.1373
3,15.37128021555258,1.031410311399439,1,963.804,1.7,1638.4668
3,17.369846319299363,0.8609900406018435,1,954.019,1.3,1240.2247
3,16.206797256818174,0.9999650330725794,1,966.479,1.9,1836.3101
3,14.218549949571496,1.0212740707085486,1,951.015,1.9,1806.9285
3,13.040274982720335,0.8736050246583429,1,914.599,1.7,1554.8183
2,16.701684703890308,0.9294524053086636,1,963.943,1.5,1445.9145
4,17.59041161950256,1.033654663279728,0,796.616,1.9,1513.5703999999998
3,15.026152680797065,0.8670354486787799,1,932.547,1.3,1212.3111
4,15.120324628392089,0.9007265982197218,1,934.479,1.5,1401.7185
5,12.8772791383993,0.9856509891648398,1,922.683,1.7,1568.5611
4,15.801070559501312,0.8889816193137199,1,939.017,1.7,1596.3289
3,15.615096041709831,1.0674854288562048,1,972.277,1.9,1847.3263
3,14.630588133355982,0.9495960913328266,1,942.785,1.9,1791.2914999999998
3,15.348170603698083,1.050225653861921,1,966.781,1.5,1450.1715
2,17.575395650001703,0.9537589173516834,0,770.062,1.5,1155.093
4,12.380182274583175,0.8771426713500738,1,904.164,1.9,1717.9116
4,17.627742485030627,0.8874964825993897,1,956.301,1.9,1816.9719
5,14.766356752208054,1.0480030230049666,1,951.418,1.9,1807.6942
3,17.508294624274164,0.9775992744453552,1,975.172,1.5,1462.758
5,15.85014891378943,0.9027698803257008,1,937.132,1.3,1218.2716
2,14.476835341673972,0.8637736052659462,0,682.619,1.5,1023.9285
3,15.79009848447309,0.9076071991504764,1,946.778,1.7,1609.5226
4,15.151879930191322,1.0369146083631362,1,957.934,1.7,1628.4878
5,12.214241162702596,0.9653847691173786,1,912.872,1.7,1551.8824
3,16.177110443478966,1.037973723230727,1,972.656,1.5,1458.984
3,17.629502080810955,0.8901387795034206,0,732.194,1.7,1244.7297999999998
3,17.081453533865194,1.0346773127749262,1,980.777,1.7,1667.3209
2,14.887901289786107,0.8857671426136434,1,939.104,1.7,1596.4768
3,17.286486766331905,0.8646937327731042,1,953.848,1.9,1812.3112
4,17.89846772210507,1.0470725657479345,1,986.028,1.7,1676.2476
3,12.721754637472326,1.0756566296487955,1,945.89,1.9,1797.1909999999998
4,14.94351317971708,1.008893932725958,1,951.17,1.9,1807.223
5,17.873908782685128,0.8563277090598898,1,948.665,1.9,1802.4635
4,17.60215014263561,0.9676445101129284,1,969.68,1.7,1648.456
4,17.458228761834782,1.0179170180399106,0,786.936,1.9,1495.1784
5,17.5798924522129,0.8737337730496012,0,709.711,1.7,1206.5087
5,15.906316324712648,1.0479890992266168,0,773.911,1.9,1470.4308999999998
4,17.86130068036452,0.8643604704441651,1,954.61,1.9,1813.759
3,12.931174999888844,1.0274694838178842,1,939.709,1.7,1597.5052999999998
4,14.484310926908012,0.8736521273729148,1,923.77,1.7,1570.409
4,17.362454186560747,0.942501726137214,1,963.105,1.7,1637.2785
4,12.00553608692444,1.0146018776698973,1,923.935,1.7,1570.6895
4,15.068340777611615,0.8696493003342554,0,680.061,1.5,1020.0915
4,15.0043437714213,0.8667925474072183,1,927.596,1.3,1205.8748
3,14.830574845433572,1.0036027638446166,1,953.886,1.7,1621.6062
3,16.82035349598465,1.068013940376889,1,983.938,1.5,1475.907
4,14.633511807435458,1.0660662095392686,0,772.312,1.9,1467.3928
5,15.774620818872592,0.902881480768474,1,936.426,1.3,1217.3538
2,16.118749607449608,1.0522030137076632,1,979.215,1.9,1860.5085
2,16.611049534503675,0.8614439399220142,0,710.693,1.7,1208.1781
3,16.650414047565924,0.8921109755672456,1,952.403,1.7,1619.0851
4,12.70738167456126,0.8703882631338795,1,906.157,1.9,1721.6983
2,16.491576416772965,1.0177867459617065,0,787.228,1.9,1495.7332
4,14.280823827941129,1.035633828022232,1,949.354,1.9,1803.7726
4,14.33756736308143,1.0274720265162025,1,948.511,1.9,1802.1709
3,17.091291928757713,0.93431195598191,1,963.809,1.5,1445.7134999999998
4,15.100339917265364,0.9504659459008132,1,942.742,1.7,1602.6614
3,16.527445937377415,0.9697610398522476,1,964.423,1.9,1832.4037
4,14.352992645950543,0.9308582884994728,1,932.235,1.9,1771.2465
4,14.739819103684615,0.8911498699671072,1,929.198,1.3,1207.9574
4,17.191649764761586,0.96420755207769,1,965.155,1.9,1833.7945
5,13.49252952978751,0.9570902272277912,1,923.734,1.7,1570.3478
5,14.831419985676025,0.9959782915637208,1,943.198,1.9,1792.0762
3,13.053320433774545,0.9592894526330604,1,929.291,1.7,1579.7947
3,17.84464598099901,0.8599335977018832,0,720.038,1.7,1224.0646
3,15.4965562969903,0.8701413526203582,0,692.973,1.5,1039.4595
3,12.435410223693234,0.888154225916401,1,911.266,1.9,1731.4054
4,14.197896470208104,0.8884892129920222,1,923.543,1.7,1570.0231
4,12.289552965267124,0.9614149267389268,1,917.62,1.9,1743.4779999999998
4,13.561448003326674,0.930915098573552,1,924.645,1.7,1571.8964999999998
5,13.658320707392445,0.9100423906301578,1,917.327,1.7,1559.4559
2,15.829425665229271,1.0384115341104172,1,974.092,1.5,1461.138
4,17.855377492010195,1.041912701637449,1,984.737,1.7,1674.0529
2,17.49643858663996,0.8884911936481307,1,964.609,1.7,1639.8353
4,13.636284949711571,0.9774545568667924,1,933.276,1.7,1586.5692
5,13.91043424452728,1.0014219032177858,1,935.282,1.7,1589.9794
3,16.81797655695084,0.9420464382940242,1,962.5,1.2,1155.0
3,16.288063261561792,0.9028108701209512,1,950.743,1.5,1426.1145
4,15.208565962796712,0.868766475706132,0,681.541,1.5,1022.3115
4,17.07288780039913,0.9253276718625608,1,957.405,1.3,1244.6265
3,14.650189803829305,0.8708789004583635,1,929.591,1.5,1394.3865
4,16.212877610281403,0.8895637740463852,1,943.069,1.3,1225.9897
4,17.656836016233704,0.8878007988635928,1,956.632,1.3,1243.6216
5,15.603299247988282,0.9077616311814216,1,935.611,1.5,1403.4165
4,14.754277980488098,1.0775615887749916,1,961.027,1.7,1633.7459
2,17.452136439555595,0.9337915606452344,1,971.885,1.2,1166.262
4,14.601348675557372,0.8818474968411547,1,926.287,1.9,1759.9453
4,16.030728653496475,1.026976282476148,1,964.681,1.9,1832.8939
2,17.238498956281326,1.0197096832505848,1,984.44,1.9,1870.436
2,16.84832974863217,0.9902692449161936,1,975.69,1.5,1463.535
2,15.929554420930682,1.0046709259364346,1,969.318,1.5,1453.977
2,14.297817995813883,0.8588125897530621,0,677.686,1.5,1016.529
3,13.155317549204542,0.9915410739017896,1,935.753,1.9,1777.9307
4,14.14341028795664,0.9585987431530996,1,934.939,1.9,1776.3840999999998
4,17.496114249593248,0.9424098069456462,1,964.372,1.5,1446.558
2,15.327587284196987,0.8691888178311472,1,940.507,1.3,1222.6591
3,13.726481327728006,0.8853321874792096,1,923.181,1.9,1754.0439
3,15.66711817611886,1.0212240200271612,1,964.912,1.9,1833.3328
5,13.303136483534706,0.8698615746410531,1,907.087,1.7,1542.0479
3,17.06456602520371,0.9644879480464188,1,968.683,1.5,1453.0245
4,17.140446927833647,0.9498629742615492,1,962.225,1.2,1154.67
3,16.204593671618444,0.8737016489348374,1,944.993,1.5,1417.4895
2,12.056738104929304,1.015325342686092,1,933.95,1.7,1587.715
3,12.63177019144164,1.0324269928516874,1,937.678,1.9,1781.5882
2,15.96833622972628,0.9246527985967686,0,733.493,1.3,953.5409
4,14.680151776643443,1.0767846607619602,0,778.31,1.9,1478.7889999999998
5,16.527534090809326,0.9576914029052692,1,952.972,1.9,1810.6468
4,12.142687804563325,0.9703817878319936,1,917.735,1.9,1743.6965
4,16.740063305686135,0.8960926430456734,0,716.185,1.9,1360.7515
3,12.76217105620457,0.9222430912796334,1,920.198,1.7,1564.3366
